transaction_id,date,product,category,quantity,unit_price,total
1001,2026-01-15,Widget Alpha,Gadgets,3,19.99,59.97
1002,2026-01-16,Gadget Pro,Gadgets,1,149.99,149.99
1003,2026-01-16,Widget Beta,Gadgets,5,9.99,49.95
1004,2026-01-17,Service Plan,Services,2,99.99,199.98
1005,2026-01-18,Widget Alpha,Gadgets,10,18.99,189.90
1006,2026-01-19,Premium Support,Services,1,299.99,299.99
1007,2026-01-20,Gadget Lite,Gadgets,4,39.99,159.96
1008,2026-01-21,Widget Beta,Gadgets,2,9.99,19.98
1009,2026-01-22,Consulting Hour,Services,8,150.00,1200.00
1010,2026-01-23,Gadget Pro,Gadgets,1,149.99,149.99
